p,boost,half_width,l_adv_km,score,rmse
3.0,1.0,60.0,20.0,-1.3542868777838064,1.3542868777838064
3.0,1.0,60.0,50.0,-1.3458912585946239,1.3458912585946239
3.0,1.0,60.0,100.0,-1.3444668673604943,1.3444668673604943
3.0,1.0,90.0,20.0,-1.3542868777838064,1.3542868777838064
3.0,1.0,90.0,50.0,-1.3458912585946239,1.3458912585946239
3.0,1.0,90.0,100.0,-1.3444668673604943,1.3444668673604943
3.0,2.0,30.0,20.0,-1.3472188720775098,1.3472188720775098
3.0,2.0,30.0,50.0,-1.339998448057174,1.339998448057174
3.0,2.0,30.0,100.0,-1.3391723433248577,1.3391723433248577
3.0,2.0,45.0,20.0,-1.344903341569719,1.344903341569719
3.0,2.0,45.0,50.0,-1.33803586782885,1.33803586782885
3.0,2.0,45.0,100.0,-1.337347899904012,1.337347899904012
3.0,2.0,60.0,20.0,-1.3446156618258114,1.3446156618258114
3.0,2.0,60.0,50.0,-1.3380445576320803,1.3380445576320803
3.0,2.0,60.0,100.0,-1.3374396387910126,1.3374396387910126
3.0,2.0,90.0,20.0,-1.3520925145275715,1.3520925145275715
3.0,2.0,90.0,50.0,-1.345343311629981,1.345343311629981
3.0,2.0,90.0,100.0,-1.3445759841116214,1.3445759841116214
3.0,3.0,30.0,20.0,-1.3451009758102137,1.3451009758102137
3.0,3.0,30.0,50.0,-1.3405609994108552,1.3405609994108552
3.0,3.0,30.0,100.0,-1.3408153152091105,1.3408153152091105
3.0,3.0,45.0,20.0,-1.343056235613976,1.343056235613976
3.0,3.0,45.0,50.0,-1.339881524092916,1.339881524092916
3.0,3.0,45.0,100.0,-1.340599088732784,1.340599088732784
3.0,3.0,60.0,20.0,-1.3441982084294355,1.3441982084294355
3.0,3.0,60.0,50.0,-1.341932645165091,1.341932645165091
3.0,3.0,60.0,100.0,-1.3428768127363253,1.3428768127363253
3.0,3.0,90.0,20.0,-1.356974237097772,1.356974237097772
3.0,3.0,90.0,50.0,-1.3539689794802867,1.3539689794802867
3.0,3.0,90.0,100.0,-1.3544701162338408,1.3544701162338408
3.0,5.0,30.0,20.0,-1.3474375319181235,1.3474375319181235
3.0,5.0,30.0,50.0,-1.3492243355582205,1.3492243355582205
3.0,5.0,30.0,100.0,-1.3519017552261774,1.3519017552261774
3.0,5.0,45.0,20.0,-1.3490614962164313,1.3490614962164313
3.0,5.0,45.0,50.0,-1.3542917043443203,1.3542917043443203
3.0,5.0,45.0,100.0,-1.3580171020168523,1.3580171020168523
3.0,5.0,60.0,20.0,-1.354100615157791,1.354100615157791
3.0,5.0,60.0,50.0,-1.360681453830789,1.360681453830789
3.0,5.0,60.0,100.0,-1.3645747855239305,1.3645747855239305
3.0,5.0,90.0,20.0,-1.3712677897120473,1.3712677897120473
3.0,5.0,90.0,50.0,-1.3745409662779189,1.3745409662779189
3.0,5.0,90.0,100.0,-1.3770099403823182,1.3770099403823182
3.0,8.0,30.0,20.0,-1.3580969311706899,1.3580969311706899
3.0,8.0,30.0,50.0,-1.3687341883244513,1.3687341883244513
3.0,8.0,30.0,100.0,-1.3746120424433017,1.3746120424433017
3.0,8.0,45.0,20.0,-1.3673999452732601,1.3673999452732601
3.0,8.0,45.0,50.0,-1.3832699965535107,1.3832699965535107
3.0,8.0,45.0,100.0,-1.390536417208953,1.390536417208953
3.0,8.0,60.0,20.0,-1.377269832082561,1.377269832082561
3.0,8.0,60.0,50.0,-1.3932518256867403,1.3932518256867403
3.0,8.0,60.0,100.0,-1.399976435789534,1.399976435789534
3.0,8.0,90.0,20.0,-1.3921213063818865,1.3921213063818865
3.0,8.0,90.0,50.0,-1.4004895861831286,1.4004895861831286
3.0,8.0,90.0,100.0,-1.4043843007505887,1.4043843007505887
